ID Furnace 1	Tag Furnace 1	Is DC EAF Fce	Is Twin Shell	Is Substation App	Tag Furnace 2	Is DC EAF Fce	Plant Short Name	Division Short Name	Corporate Short Name	Corporate Full Name	Plant Location	Time Zone A - Date & Time Starts	Time Zone A - Date & Time Finish	Time Zone A - Designated Time	HoraEjecucionPlanta	ArchivoCCR	IE_VM2 Parametros	IE_VM2 Remove Extreme Data (Outliers)	IE_VM2 IDPlant	IE_VM2 IDFurnace	IE_VM2 Start Date (New - Older)	parant	difp	fec	diff	OutliersAnt	difo
EAF	EAF	FALSE	FALSE	FALSE	tbd		GAL	GKN	HO	Hoeganaes	"Gallatin, Tennessee, USA (CST)"	42442	42680	UTC-05:00	0	ccr_Hoeganaes Gallatin.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 70
 AND TapToTap BETWEEN 40 AND 200
 AND Turnaround BETWEEN 2.5 AND 100
 AND MWH BETWEEN 14 AND 50
 ORDER BY TimeStarted"	FALSE	3	12	2019-01-01	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 70
 AND TapToTap BETWEEN 40 AND 200
 AND Turnaround BETWEEN 2.5 AND 100
 AND MWH BETWEEN 14 AND 50
 ORDER BY TimeStarted"	TRUE	2019-01-01	TRUE	FALSE	TRUE
F5	5	FALSE	FALSE	FALSE	tbd		RMSM	RMSM	Evraz	Evraz	"Pueblo, Colorado, USA (MST)"	42442	42680	UTC-06:00	1	ccr_Evraz Rocky Mountain EAF 5.xls	"WHERE TapToTap < 150
 AND Turnaround BETWEEN 1.5 AND 140
 ORDER BY TimeStarted"	FALSE	28	31	2021-01-02	"WHERE TapToTap < 150
 AND Turnaround BETWEEN 1.5 AND 140
 ORDER BY TimeStarted"	TRUE	2019-01-01	FALSE	FALSE	TRUE
South	South	FALSE	FALSE	FALSE	tbd		SDICC	SDISRD	SDI	Steel Dynamics Inc	"Columbia City, IN. USA (EST)"	42442	42680	UTC-04:00	23	ccr_SDI Columbia City South.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 60
 AND TapToTap < 250
 AND Turnaround BETWEEN 2.5 AND 250
 AND MWH BETWEEN 20 AND 65
 ORDER BY TimeStarted"	FALSE	35	40	2020-10-02	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 60
 AND TapToTap < 250
 AND Turnaround BETWEEN 2.5 AND 250
 AND MWH BETWEEN 20 AND 65
 ORDER BY TimeStarted"	TRUE	2018-10-10	FALSE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		IND	USA	NLMK	NLMK	"Portage, Indiana, USA (CST)"	42442	42680	UTC-05:00	0	ccr_NLMK Indiana.xls	"WHERE Samples_Lost_PowerOn < 5
  AND PwrOn BETWEEN 30 AND 65
  AND TapToTap BETWEEN 2 AND 200
  AND Turnaround BETWEEN 2 AND 200
  AND MWH BETWEEN 30 AND 70
 ORDER BY TimeStarted"	FALSE	46	55	2017-03-01	"WHERE Samples_Lost_PowerOn < 5
  AND PwrOn BETWEEN 30 AND 65
  AND TapToTap BETWEEN 2 AND 200
  AND Turnaround BETWEEN 2 AND 200
  AND MWH BETWEEN 30 AND 70
 ORDER BY TimeStarted"	TRUE	2017-03-01	TRUE	FALSE	TRUE
North	North	FALSE	FALSE	FALSE	tbd		SDICC	SDISRD	SDI	Steel Dynamics Inc	"Columbia City, IN. USA (EST)"	42442	42680	UTC-04:00	23	ccr_SDI Columbia City North.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 60
 AND TapToTap < 250
 AND Turnaround BETWEEN 2.5 AND 250
 AND MWH BETWEEN 20 AND 65
 ORDER BY TimeStarted"	FALSE	35	56	2020-10-02	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 60
 AND TapToTap < 250
 AND Turnaround BETWEEN 2.5 AND 250
 AND MWH BETWEEN 20 AND 65
 ORDER BY TimeStarted"	TRUE	2018-10-10	FALSE	FALSE	TRUE
F1	1	FALSE	FALSE	FALSE	tbd		BLAP	BLAP	Bayou Steel	Bayou Steel	"LaPlace, Lousiana, USA (CST)"	42442	42680	UTC-05:00	0	ccr_Bayou Steel Laplace.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 23 AND 60
 AND TapToTap BETWEEN 35 AND 140
 AND Turnaround BETWEEN 4 AND 90
 AND MWH BETWEEN 15 AND 45
 ORDER BY TimeStarted"	FALSE	84	66	2017-03-01	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 23 AND 60
 AND TapToTap BETWEEN 35 AND 140
 AND Turnaround BETWEEN 4 AND 90
 AND MWH BETWEEN 15 AND 45
 ORDER BY TimeStarted"	TRUE	2017-03-01	TRUE	FALSE	TRUE
EAF1 old	1old	FALSE	FALSE	FALSE	tbd		GTN	GTN	Liberty	Liberty Steel	"Georgetown, Illinois, USA (CST)"	42442	42680	UTC-05:00	0	ccr_Georgetown #1 EAF.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 15 AND 120
 AND TapToTap < 150
 AND Turnaround BETWEEN 1 AND 100
 AND MWH BETWEEN 2 AND 300
 ORDER BY TimeStarted"	FALSE	34	71	2017-03-01	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 15 AND 120
 AND TapToTap < 150
 AND Turnaround BETWEEN 1 AND 100
 AND MWH BETWEEN 2 AND 300
 ORDER BY TimeStarted"	TRUE	2017-03-01	TRUE	FALSE	TRUE
																			57	74			TRUE		TRUE		TRUE
F-fce	F	FALSE	FALSE	FALSE	tbd		CTReading	CTReading	CT	Carpenter Technology	"Reading, Pensilvania, USA (EST)"	42442	42680	UTC-04:00	23	ccr_Carpenter Reading F-fce.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 60 AND 125
 AND TapToTap < 400
 AND Turnaround BETWEEN 6 AND 300
 AND MWH BETWEEN 11 AND 22
 ORDER BY TimeStarted"	FALSE	61	80	2017-03-01	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 60 AND 125
 AND TapToTap < 400
 AND Turnaround BETWEEN 6 AND 300
 AND MWH BETWEEN 11 AND 22
 ORDER BY TimeStarted"	TRUE	2017-03-01	TRUE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		NOVE	NOVE	NOV	Novacero	"Guayaquil, Ecuador"			UTC-05:00	23	ccr_Novacero EAF.xls	"WHERE PwrOn BETWEEN 15 AND 100
 AND TapToTap < 160
 AND Turnaround BETWEEN 1 AND 100
 AND MWH BETWEEN 12 AND 25
 ORDER BY TimeStarted"	FALSE	65	84	2017-03-01	"WHERE PwrOn BETWEEN 15 AND 100
 AND TapToTap < 160
 AND Turnaround BETWEEN 1 AND 100
 AND MWH BETWEEN 12 AND 25
 ORDER BY TimeStarted"	TRUE	2017-03-01	TRUE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		ALTN	ALTN	AS	Alton Steel	"Alton, ILLinous, USA (CST)"	42442	42680	UTC-05:00	0	ccr_Alton Steel.xls	"WHERE PwrOn BETWEEN 75 AND 120
 AND TapToTap < 250
 AND Turnaround BETWEEN 1 AND 100
 AND MWH BETWEEN 15 AND 300
 ORDER BY TimeStarted"	FALSE	66	87	2017-03-01	"WHERE PwrOn BETWEEN 75 AND 120
 AND TapToTap < 250
 AND Turnaround BETWEEN 1 AND 100
 AND MWH BETWEEN 15 AND 300
 ORDER BY TimeStarted"	TRUE	2017-03-01	TRUE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		VSY	VSY	VS	Vallourec Star	"Youngstown, OH. USA (EST)"	42442	42680	UTC-04:00	23	ccr_Vallourec Star Youngstown.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 34 AND 60
 AND TapToTap BETWEEN 39 AND 98
 AND Turnaround BETWEEN 2 AND 50
 AND MWH BETWEEN 29 AND 60
 ORDER BY TimeStarted"	FALSE	67	88	2017-05-17	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 34 AND 60
 AND TapToTap BETWEEN 39 AND 98
 AND Turnaround BETWEEN 2 AND 50
 AND MWH BETWEEN 29 AND 60
 ORDER BY TimeStarted"	TRUE	2017-05-17	TRUE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		Alta	CAN	KS	Kyoei Steel	"Edmonton, Alberta, Canada"	42442	42680	UTC-06:00	1	ccr_AltaSteel EAF.xls	"WHERE Samples_Lost_PowerOn < 5
  AND PwrOn BETWEEN 30 AND 65
  AND TapToTap < 250
  AND Turnaround BETWEEN 1.5 AND 200
  AND MWH BETWEEN 20 AND 42
 ORDER BY TimeStarted"	FALSE	68	89	2019-01-02	"WHERE Samples_Lost_PowerOn < 5
  AND PwrOn BETWEEN 30 AND 65
  AND TapToTap < 250
  AND Turnaround BETWEEN 1.5 AND 200
  AND MWH BETWEEN 20 AND 42
 ORDER BY TimeStarted"	TRUE	2019-01-02	TRUE	FALSE	TRUE
